App_app,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size_MB,Update_Year,Update_Month,Android_Version,App_clean,App_len,App_lower,App_no_S,Revenue,App_rev,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,review_text,sentiment_compound,sentiment_subjectivity,App_rev_clean,Category_translated,Last_Updated_Date,Month_Year,task1_last_update_jan,task1_size_ge_10MB,task1_avg_rating_ge_4,task1_eligible,task2_eligible,task3_installs_ge_10k,task3_revenue_ge_10k,task3_android_gt_4,task3_size_gt_15,task3_content_everyone,task3_app_len_le_30,task3_eligible,task4_reviews_gt_500,task4_app_not_start_xyz,task4_app_no_S,task4_cat_starts_with_ECB,task4_eligible,task5_rating_gt_3_5,task5_reviews_gt_500,task5_app_no_S,task5_subjectivity_gt_0_5,task5_installs_gt_50k,task5_cat_in_list,task5_eligible,task6_avg_rating_ge_4_2,task6_app_no_digits,task6_cat_start_T_or_P,task6_reviews_gt_1000,task6_size_between_20_80,task6_eligible
Toca Life: City,EDUCATION,4.7,31085,24M,500000,Paid,3.99,Everyone,Education;Pretend Play,2018-07-06,1.5-play,4.4 and up,24.0,2018.0,7.0,4.4,Toca Life: City,15,toca life: city,True,1995000.0,,,,,,,,,,EDUCATION,2018-07-06,2018-07,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False
Toca Life: Hospital,EDUCATION,4.7,3528,24M,100000,Paid,3.99,Everyone,Education;Pretend Play,2018-06-12,1.1.1-play,4.4 and up,24.0,2018.0,6.0,4.4,Toca Life: Hospital,19,toca life: hospital,False,399000.0,,,,,,,,,,EDUCATION,2018-06-12,2018-06,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,True,True,False
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29M,10000,Paid,3.99,Everyone,Health & Fitness,2018-05-15,1.0.6,4.3 and up,29.0,2018.0,5.0,4.3,Meditation Studio,17,meditation studio,False,39900.0,,,,,,,,,,HEALTH_AND_FITNESS,2018-05-15,2018-05,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False
The Game of Life,GAME,4.4,18621,63M,100000,Paid,2.99,Everyone,Board,2018-07-04,2.1.2,4.4 and up,63.0,2018.0,7.0,4.4,The Game of Life,16,the game of life,True,299000.0,,,,,,,,,,GAME,2018-07-04,2018-07,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,False
The Room: Old Sins,GAME,4.9,21119,48M,100000,Paid,4.99,Everyone,Puzzle,2018-04-18,1.0.1,4.4 and up,48.0,2018.0,4.0,4.4,The Room: Old Sins,18,the room: old sins,False,499000.0,,,,,,,,,,GAME,2018-04-18,2018-04,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False
Monument Valley 2,GAME,4.6,9394,33M,100000,Paid,4.99,Everyone,Puzzle,2017-11-30,1.2.9,4.4 and up,33.0,2017.0,11.0,4.4,Monument Valley 2,17,monument valley 2,True,499000.0,,,,,,,,,,GAME,2017-11-30,2017-11,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,True,True,False
Toca Life: City,FAMILY,4.7,31100,24M,500000,Paid,3.99,Everyone,Education;Pretend Play,2018-07-06,1.5-play,4.4 and up,24.0,2018.0,7.0,4.4,Toca Life: City,15,toca life: city,True,1995000.0,,,,,,,,,,FAMILY,2018-07-06,2018-07,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,True,False,True,True,False
Acupuncture Assistant,MEDICAL,4.5,492,39M,10000,Paid,7.99,Everyone,Medical,2018-04-13,4.4.5,4.1 and up,39.0,2018.0,4.0,4.1,Acupuncture Assistant,21,acupuncture assistant,False,79900.0,Acupuncture Assistant,,,,,nan,0.0,0.0,Acupuncture Assistant,MEDICAL,2018-04-13,2018-04,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
Acupuncture Assistant,MEDICAL,4.5,492,39M,10000,Paid,7.99,Everyone,Medical,2018-04-13,4.4.5,4.1 and up,39.0,2018.0,4.0,4.1,Acupuncture Assistant,21,acupuncture assistant,False,79900.0,Acupuncture Assistant,,,,,nan,0.0,0.0,Acupuncture Assistant,MEDICAL,2018-04-13,2018-04,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
Acupuncture Assistant,MEDICAL,4.5,492,39M,10000,Paid,7.99,Everyone,Medical,2018-04-13,4.4.5,4.1 and up,39.0,2018.0,4.0,4.1,Acupuncture Assistant,21,acupuncture assistant,False,79900.0,Acupuncture Assistant,,,,,nan,0.0,0.0,Acupuncture Assistant,MEDICAL,2018-04-13,2018-04,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
