App_app,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size_MB,Update_Year,Update_Month,Android_Version,App_clean,App_len,App_lower,App_no_S,Revenue,App_rev,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,review_text,sentiment_compound,sentiment_subjectivity,App_rev_clean,Category_translated,Last_Updated_Date,Month_Year,task1_last_update_jan,task1_size_ge_10MB,task1_avg_rating_ge_4,task1_eligible,task2_eligible,task3_installs_ge_10k,task3_revenue_ge_10k,task3_android_gt_4,task3_size_gt_15,task3_content_everyone,task3_app_len_le_30,task3_eligible,task4_reviews_gt_500,task4_app_not_start_xyz,task4_app_no_S,task4_cat_starts_with_ECB,task4_eligible,task5_rating_gt_3_5,task5_reviews_gt_500,task5_app_no_S,task5_subjectivity_gt_0_5,task5_installs_gt_50k,task5_cat_in_list,task5_eligible,task6_avg_rating_ge_4_2,task6_app_no_digits,task6_cat_start_T_or_P,task6_reviews_gt_1000,task6_size_between_20_80,task6_eligible
Ulta Beauty,BEAUTY,4.7,42050,Varies with device,1000000,Free,0.0,Everyone,Beauty,2018-06-05,5.4,5.0 and up,,2018.0,6.0,5.0,Ulta Beauty,11,ulta beauty,True,0.0,,,,,,,,,,BEAUTY,2018-06-05,2018-06,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False
Rainbow Camera,BEAUTY,3.7,3871,23M,1000000,Free,0.0,Everyone,Beauty,2018-07-30,2.2.0,4.0 and up,23.0,2018.0,7.0,4.0,Rainbow Camera,14,rainbow camera,True,0.0,,,,,,,,,,BEAUTY,2018-07-30,2018-07,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,False
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9M,50000,Free,0.0,Everyone,Books & Reference,2018-08-03,1.3.2,4.4 and up,4.9,2018.0,8.0,4.4,E-Book Read - Read Book for free,32,e-book read - read book for free,True,0.0,,,,,,,,,,BOOKS_AND_REFERENCE,2018-08-03,2018-08,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,100000,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,1.1,4.0 and up,9.5,2017.0,7.0,4.0,Download free book with green book,34,download free book with green book,True,0.0,,,,,,,,,,BOOKS_AND_REFERENCE,2017-07-31,2017-07,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,Varies with device,10000000,Free,0.0,Everyone,Books & Reference,2018-08-02,Varies with device,Varies with device,,2018.0,8.0,,Wikipedia,9,wikipedia,True,0.0,,,,,,,,,,BOOKS_AND_REFERENCE,2018-08-02,2018-08,False,False,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device,,2018.0,7.0,,Amazon Kindle,13,amazon kindle,True,0.0,Amazon Kindle,"OK, despite experience could little intuitive, mention updates seem break many features fix. The 'Minutes remaining current chapter' algorithm seems wrecked latest update example. If possible Kindle Unlimited third party reader I'd switch shot functionality issues like this. Amazon good creating intuitive, consistent reliable user experiences.",Positive,0.2513888888888889,0.5166666666666667,"OK, despite experience could little intuitive, mention updates seem break many features fix. The 'Minutes remaining current chapter' algorithm seems wrecked latest update example. If possible Kindle Unlimited third party reader I'd switch shot functionality issues like this. Amazon good creating intuitive, consistent reliable user experiences.",0.9203,0.5166666666666667,Amazon Kindle,BOOKS_AND_REFERENCE,2018-07-27,2018-07,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device,,2018.0,7.0,,Amazon Kindle,13,amazon kindle,True,0.0,Amazon Kindle,"I like reading alternitive Galaxy Tab S2 basic kindle. I mainly read S2 two small things kept mobile version (which 2 FAVORITE parts S2) 1. Time page reading. Whenever I reading, current time displays page. 2. It contains Goodreads Want Read shelf. However, phone, include whether apart Kindle Unlimited, MAJOR downfall.",Positive,0.0798611111111111,0.4597222222222222,"I like reading alternitive Galaxy Tab S2 basic kindle. I mainly read S2 two small things kept mobile version (which 2 FAVORITE parts S2) 1. Time page reading. Whenever I reading, current time displays page. 2. It contains Goodreads Want Read shelf. However, phone, include whether apart Kindle Unlimited, MAJOR downfall.",0.7603,0.4597222222222222,Amazon Kindle,BOOKS_AND_REFERENCE,2018-07-27,2018-07,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device,,2018.0,7.0,,Amazon Kindle,13,amazon kindle,True,0.0,Amazon Kindle,"I want option remove page flip. Im already irritated marked pages removed. I dont care much time I left, random number ""location"" is. Just give page number bottom page! Why convoluted?! I want read ebooks like books!",Negative,-0.169140625,0.325,"I want option remove page flip. Im already irritated marked pages removed. I dont care much time I left, random number ""location"" is. Just give page number bottom page! Why convoluted?! I want read ebooks like books!",-0.4222,0.325,Amazon Kindle,BOOKS_AND_REFERENCE,2018-07-27,2018-07,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device,,2018.0,7.0,,Amazon Kindle,13,amazon kindle,True,0.0,Amazon Kindle,"I used LOVE kindle app. Read s7 edge time. Now suddenly I want select kindle Unlimited book recommended list, takea kindle store. Where I still cant get book. And I 1 book unlimited. Its big loop customer atrocious. If get fixed I'll cancel",Negative,-0.0199999999999999,0.4800000000000001,"I used LOVE kindle app. Read s7 edge time. Now suddenly I want select kindle Unlimited book recommended list, takea kindle store. Where I still cant get book. And I 1 book unlimited. Its big loop customer atrocious. If get fixed I'll cancel",0.7213,0.4800000000000001,Amazon Kindle,BOOKS_AND_REFERENCE,2018-07-27,2018-07,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device,,2018.0,7.0,,Amazon Kindle,13,amazon kindle,True,0.0,Amazon Kindle,"The functional ability Kindle library great me, but, Galaxy Note 8 dim, problem night makes books really difficult read daylight. brightness adjustment Kindle Galaxy Note 8 I would really appreciate would take time include operating system brightness change Kindle Reader brightness, dim",Positive,0.14,0.5900000000000001,"The functional ability Kindle library great me, but, Galaxy Note 8 dim, problem night makes books really difficult read daylight. brightness adjustment Kindle Galaxy Note 8 I would really appreciate would take time include operating system brightness change Kindle Reader brightness, dim",0.8793,0.5900000000000001,Amazon Kindle,BOOKS_AND_REFERENCE,2018-07-27,2018-07,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False
