App_app,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size_MB,Update_Year,Update_Month,Android_Version,App_clean,App_len,App_lower,App_no_S,Revenue,App_rev,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,review_text,sentiment_compound,sentiment_subjectivity,App_rev_clean,Category_translated,Last_Updated_Date,Month_Year,task1_last_update_jan,task1_size_ge_10MB,task1_avg_rating_ge_4,task1_eligible,task2_eligible,task3_installs_ge_10k,task3_revenue_ge_10k,task3_android_gt_4,task3_size_gt_15,task3_content_everyone,task3_app_len_le_30,task3_eligible,task4_reviews_gt_500,task4_app_not_start_xyz,task4_app_no_S,task4_cat_starts_with_ECB,task4_eligible,task5_rating_gt_3_5,task5_reviews_gt_500,task5_app_no_S,task5_subjectivity_gt_0_5,task5_installs_gt_50k,task5_cat_in_list,task5_eligible,task6_avg_rating_ge_4_2,task6_app_no_digits,task6_cat_start_T_or_P,task6_reviews_gt_1000,task6_size_between_20_80,task6_eligible
"Shutterfly: Free Prints, Photo Books, Cards, Gifts",PHOTOGRAPHY,4.6,98716,59M,5000000,Free,0.0,Everyone,Photography,2018-08-01,5.13.1,5.0 and up,59.0,2018.0,8.0,5.0,"Shutterfly: Free Prints, Photo Books, Cards, Gifts",50,"shutterfly: free prints, photo books, cards, gifts",False,0.0,,,,,,,,,,PHOTOGRAPHY,2018-08-01,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,"I never write reviews, deserves good review! It helped tremendously! I dont drive usually tough get place print pictures thanks app, I dont leave house. AND, prices fantastic! You NOT find cheaper place print pics. I LOVE app.",Positive,0.350462962962963,0.688888888888889,"I never write reviews, deserves good review! It helped tremendously! I dont drive usually tough get place print pictures thanks app, I dont leave house. AND, prices fantastic! You NOT find cheaper place print pics. I LOVE app.",0.9496,0.688888888888889,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,So far good. I ordered free pictures I also free shipping on! Hoooray! I received messages starting I Photobooks app. would upgrade shipping. I downloaded I seen upgrade yet. Waiting patiently... good deal prints also.,Positive,0.4208333333333333,0.65,So far good. I ordered free pictures I also free shipping on! Hoooray! I received messages starting I Photobooks app. would upgrade shipping. I downloaded I seen upgrade yet. Waiting patiently... good deal prints also.,0.9266,0.65,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,Reply devs: I already reached support team.. waiting response. Terrible! I can't even get passed shipping section accept suite #. It keeps telling fix red there's nothing fix! I gave went back Shutterfly,Negative,-0.3333333333333333,0.3333333333333333,Reply devs: I already reached support team.. waiting response. Terrible! I can't even get passed shipping section accept suite #. It keeps telling fix red there's nothing fix! I gave went back Shutterfly,0.4912,0.3333333333333333,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,"Love app! For anyone reading this....... If it, really give try! R'cvd first order today & happier them.",Positive,0.375,0.3777777777777777,"Love app! For anyone reading this....... If it, really give try! R'cvd first order today & happier them.",0.8475,0.37777777777777777,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,This awesome easy I got photos fast! Pictures came excellent...I happier! Update..I read FAQ section said NEVER cost $9.99..just wondering I paid $11.06?,Positive,0.5819444444444445,0.8111111111111112,This awesome easy I got photos fast! Pictures came excellent...I happier! Update..I read FAQ section said NEVER cost $9.99..just wondering I paid $11.06?,0.8997,0.8111111111111112,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,"I love app. It works well, month I get 85 pictures sent two dollars shipping. The pics nice quality totally worth it. I highly recommend actual photos.",Positive,0.312,0.4680000000000001,"I love app. It works well, month I get 85 pictures sent two dollars shipping. The pics nice quality totally worth it. I highly recommend actual photos.",0.9199,0.4680000000000001,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,"Now telling I owe 2,99 well I'm going wait . go get prepaid credit card I'll come back order pictures.",Neutral,0.0,0.0,"Now telling I owe 2,99 well I'm going wait . go get prepaid credit card I'll come back order pictures.",0.5719,0.0,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,"Order see quality first order never came, e-mailed I received pictures, put order came week look awesome",Positive,0.625,0.6666666666666666,"Order see quality first order never came, e-mailed I received pictures, put order came week look awesome",0.6249,0.6666666666666666,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,1000000,Free,0.0,Everyone,Photography,2018-08-02,2.18.2,4.1 and up,37.0,2018.0,8.0,4.1,FreePrints – Free Photos Delivered,34,freeprints – free photos delivered,False,0.0,FreePrints – Free Photos Delivered,"You choose photo, enlarge, rotate crop photo. Easy free prints come quickly. It's faster planning trip store get done!",Positive,0.4166666666666667,0.7111111111111111,"You choose photo, enlarge, rotate crop photo. Easy free prints come quickly. It's faster planning trip store get done!",0.7574,0.7111111111111111,FreePrints – Free Photos Delivered,PHOTOGRAPHY,2018-08-02,2018-08,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
